Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/EvidenceVariable-PopulationVentilatedCOVID19patients-fio2-1.json	2884	4	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	16	9	0	0	0	0	0	0
fsh-generated/resources/EvidenceVariable-PopulationVentilatedCOVID19patients-fio2-point0.json	3185	3	0	0	0	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	15	9	0	0	0	0	0	0
fsh-generated/resources/EvidenceVariable-PopulationVentilatedCOVID19patients-fio2-point4.json	3156	2	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	16	9	0	0	0	0	0	0
fsh-generated/resources/EvidenceVariable-PopulationVentilatedCOVID19patients-fio2-point5.json	3156	3	1	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	15	8	0	0	0	1	0	0
fsh-generated/resources/EvidenceVariable-PopulationVentilatedCOVID19patients-fio2-point6.json	3156	3	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	15	9	0	0	0	0	0	0
fsh-generated/resources/EvidenceVariable-PopulationVentilatedCOVID19patients-fio2-point7.json	3156	3	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	15	8	0	0	0	0	0	0
fsh-generated/resources/EvidenceVariable-PopulationVentilatedCOVID19patients-fio2-point8.json	3156	3	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	15	9	0	0	0	0	0	0
fsh-generated/resources/EvidenceVariable-PopulationVentilatedCOVID19patients-fio2-point9.json	3156	2	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	16	14	0	0	0	0	0	0
fsh-generated/resources/EvidenceVariable-PopulationVentilatedCOVID19patientsWithARDS.json	2957	3	0	0	0	0	0	0	1	16	0	0	0	0	0	0	0	0	0	0	15	9	0	0	0	1	0	0
fsh-generated/resources/PlanDefinition-AbdominalPositioningARDSPlan.json	2732	5	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	19	9	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-AntithrombFondapProphInHospitalisedCOVID19PatientsRecommPlan.json	3183	3	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	21	11	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-AntithrombLWMHProphInHospitalisedCOVID19PatientsRecommPlan.json	12337	4	0	0	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	57	13	0	0	0	1	0	0
fsh-generated/resources/PlanDefinition-NoTherapeuticAnticoagulationICUCOVID19NoIndicationPlan.json	8561	4	0	0	0	0	0	0	1	65	0	0	0	0	0	0	0	0	0	0	50	27	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-RecCollectionNoTherapeuticAnticoagNoIndicationICUCOVID19.json	2569	2	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	20	14	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-RecCollectionProphAnticoagulationHospitalizedCOVID19Patients.json	3163	3	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	33	9	0	0	0	1	0	0
fsh-generated/resources/PlanDefinition-RecCollectionTherapeuticAnticoagNonICUHighRiskCOVID19Patients.json	2671	3	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	20	9	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-RecommendationCollectionAbdominalPositioningARDS.json	2681	2	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	19	9	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-RecommendationCollectionVentilatedCOVID19patients.json	6465	3	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	38	11	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-RecommendationCollectionVentilatedPatientsWithARDS.json	2462	3	1	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	19	9	0	0	0	1	0	0
fsh-generated/resources/PlanDefinition-RecommendationCollectionVentilationCOVID19patientsWithARDS.json	2607	3	0	0	0	0	0	0	1	25	0	0	0	0	0	0	0	0	0	0	19	8	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-TherapeuticAnticoagulationNonICUHighRiskCOVID19PatientsPlan.json	8617	3	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	1	0	0	45	13	0	0	0	0	0	1
fsh-generated/resources/PlanDefinition-VentilatedARDSPatientsInterventionPlan.json	3387	3	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	22	10	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-VentilatedCOVID19PatientsWithARDSVentilationPlan.json	4462	4	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	35	10	0	0	0	1	0	0
fsh-generated/resources/PlanDefinition-VentilatedCOVID19patientsInterventionPlan-fio2-1.json	3635	3	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	24	9	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-VentilatedCOVID19patientsInterventionPlan-fio2-point0.json	3649	3	0	0	0	0	0	0	1	19	0	0	0	0	0	0	0	0	0	0	23	9	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-VentilatedCOVID19patientsInterventionPlan-fio2-point4.json	3649	3	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	22	10	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-VentilatedCOVID19patientsInterventionPlan-fio2-point5.json	3649	3	1	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	22	10	0	0	0	1	0	0
fsh-generated/resources/PlanDefinition-VentilatedCOVID19patientsInterventionPlan-fio2-point6.json	3650	3	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	23	9	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-VentilatedCOVID19patientsInterventionPlan-fio2-point7.json	3650	3	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	22	9	0	0	1	0	0	0
fsh-generated/resources/PlanDefinition-VentilatedCOVID19patientsInterventionPlan-fio2-point8.json	3650	2	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	23	9	0	0	0	0	0	0
fsh-generated/resources/PlanDefinition-VentilatedCOVID19patientsInterventionPlan-fio2-point9.json	3650	3	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	22	10	0	0	0	1	0	0
